#     h                fwd                bwd                 central               fwd Error             bwd Error          ctl Error 
  1.0000000000000000    0.0678264420177852    0.8414709848078965    0.4546487134128409   0.8744657550391092   0.5574077246549021   0.1585290151921036 
  0.1000000000000000    0.4973637525353891    0.5814407518041309    0.5394022521697600   0.0794713494027356   0.0761396823392994   0.0016658335317181 
  0.0100000000000000    0.5360859810118689    0.5445006207375979    0.5402933008747334   0.0078036403148349   0.0077703071481666   0.0000166665833342 
  0.0010000000000000    0.5398814803603268    0.5407229512751631    0.5403022158177450   0.0007788704642613   0.0007785371308891   0.0000001666666861 
  0.0001000000000000    0.5402602314186209    0.5403443785167992    0.5403023049677100   0.0000778720524823   0.0000778687194233   0.0000000016665295 
  0.0000100000000000    0.5402980985058645    0.5403065132081328    0.5403023058569987   0.0000077870522290   0.0000077870109888   0.0000000000206201 
  0.0000010000000000    0.5403018851213301    0.5403027266703828    0.5403023058958565   0.0000007787248084   0.0000007788274055   0.0000000000512985 
  0.0000001000000000    0.5403022640404485    0.5403023473071753    0.5403023056738119   0.0000000774153485   0.0000000766960183   0.0000000003596651 
  0.0000000100000000    0.5403022917960240    0.5403023140004845    0.5403023028982542   0.0000000260448931   0.0000000150514714   0.0000000054967109 
  0.0000000010000000    0.5403023584094055    0.5403022473871031    0.5403023028982543   0.0000000972442005   0.0000001082376219   0.0000000054967107 
  0.0000000001000000    0.5403022473871030    0.5403022473871030    0.5403022473871030   0.0000001082376221   0.0000001082376221   0.0000001082376221 
  0.0000000000100000    0.5403011371640783    0.5403011371640783    0.5403011371640783   0.0000021630558462   0.0000021630558462   0.0000021630558462 
  0.0000000000010000    0.5403455460850634    0.5402345237826008    0.5402900349338321   0.0000800296731181   0.0001254521492926   0.0000227112380873 
  0.0000000000001000    0.5395683899678257    0.5406786129924509    0.5401235014801383   0.0013583430837571   0.0006964751403504   0.0003309339717034 
  0.0000000000000100    0.5440092820663263    0.5440092820663263    0.5440092820663263   0.0068609298126726   0.0068609298126726   0.0068609298126726 
  0.0000000000000010    0.5551115123125778    0.5551115123125778    0.5551115123125778   0.0274091120537476   0.0274091120537476   0.0274091120537476 
  0.0000000000000001    0.0000000000000000    1.1102230246251554    0.5551115123125777   1.0000000000000000   1.0548182241074948   0.0274091120537474 
